,Unnamed: 0,year,month,day,hour,Blue_pca_1,Blue_pca_2,Green_pca_1,Green_pca_2,Red_pca_1,Red_pca_2
28,28,5,1,2,4,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
29,29,5,1,2,5,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
30,30,5,1,2,6,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
31,31,5,1,2,7,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
32,32,5,1,2,8,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
33,33,5,1,2,9,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
34,34,5,1,2,10,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
35,35,5,1,2,11,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
36,36,5,1,2,12,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
37,37,5,1,2,13,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
38,38,5,1,2,14,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
39,39,5,1,2,15,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
40,40,5,1,2,16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
41,41,5,1,2,17,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
42,42,5,1,2,18,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
43,43,5,1,2,19,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
44,44,5,1,2,20,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
45,45,5,1,2,21,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
46,46,5,1,2,22,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
47,47,5,1,2,23,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
48,48,5,1,3,0,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
49,49,5,1,3,1,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
50,50,5,1,3,2,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
51,51,5,1,3,3,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
52,52,5,1,3,4,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
53,53,5,1,3,5,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
54,54,5,1,3,6,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
55,55,5,1,3,7,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
56,56,5,1,3,8,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
57,57,5,1,3,9,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
58,58,5,1,3,10,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,-5.192244204033081e-16,-5.98497002384394,1.4887180030398461e-15
